# pdufa.bio conference run-up study, 1,425 presentations 2017-2026. License: CC BY 4.0. Tier column is point-in-time market cap. Returns in percent, anchored on the meeting start date. Not investment advice.
ticker,company,conf,year,cap_tier_pit,runup_30d,runup_20d,runup_10d,runup_5d,event_day,post_5d,post_10d
BCTX,BriaCell Therapeutics Corp.,ASCO,2024,nano,-16.34,-25.22,21.58,17.36,-17.16,-17.75,-12.43
HURA,TuHURA Biosciences Inc.,ASCO,2024,large,155.9,105.49,116.57,84.52,-28.11,-31.89,-42.3
KTRA,TuHURA Biosciences Inc.,ASCO,2024,,155.53,104.91,117.2,84.69,-28.18,-31.95,-42.36
ENTX,Entera Bio Ltd.,ENDO,2024,micro,13.07,4.17,-7.79,-3.02,-6.67,-9.33,-8.0
ALNY,Alnylam Pharmaceuticals Inc.,AASLD,2023,large,-9.54,-3.2,6.92,-3.15,5.0,2.08,-0.33
CYBN,Cybin Inc.,ACNP,2023,,-7.31,-21.51,-0.93,-11.92,-3.88,-10.35,-10.59
OLMA,Olema Pharmaceuticals Inc.,SABCS,2023,small,39.91,1.33,-4.39,12.55,-23.15,-18.36,-11.34
STOK,Stoke Therapeutics Inc.,AES,2023,micro,2.43,-8.01,-9.11,-5.72,10.82,25.86,35.09
BGNE,BeiGene Ltd.,ASH,2023,,5.19,-1.96,-7.99,-2.62,0.09,0.65,-1.85
ONC,BeOne Medicines Ltd.,ASH,2023,large,5.19,-1.96,-7.99,-2.62,0.09,0.65,-1.85
VBIV,VBI Vaccines Inc.,SNO,2023,,2.5,22.27,2.48,-6.68,13.82,-0.81,1.46
ARWR,Arrowhead Pharmaceuticals Inc.,AHA,2023,mid,2.7,1.7,16.11,0.11,1.63,7.2,7.27
NVO,Novo Nordisk A/S,AHA,2023,,10.23,0.04,4.97,0.11,-1.97,2.37,0.24
STRO,Sutro Biopharma Inc.,ESMO,2023,micro,-40.57,-43.94,-19.38,-22.39,13.94,33.17,9.62
IPSEY,Ipsen ADR,AASLD,2023,,-15.22,-12.79,-7.98,-5.69,2.56,4.69,1.19
GNFT,GENFIT S.A.,AASLD,2023,,3.94,2.78,3.6,0.71,4.85,1.76,0.22
