ticker,best_date,date_source,confidence,guided_date,guided_precision,guided_form,guided_filed,pcd,pcd_type,days_to_pcd,bucket,status,phase,enroll,enroll_type,nct,company,title
ACRS,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,110,ACTUAL,NCT07011706,"Aclaris Therapeutics, Inc.",ATI-045 Versus Placebo in Patients With Moderate-to-Severe Atopic Derm
ARGX,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,60,ESTIMATED,NCT06441682,ARGENX SE,A Safety and Efficacy Study of ARGX-119 in Adult Patients With Amyotro
BIVI,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,203,ACTUAL,NCT06847191,BIOVIE INC.,NE3107 in Adults With Neurological Symptoms of Long COVID
EYPT,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,400,ESTIMATED,NCT06668064,"EyePoint, Inc.",A 2-year Study of EYP-1901 in Subjects With Wet Age Related Macular De
GPCR,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE2,71,ACTUAL,NCT07169942,Structure Therapeutics Inc.,Aleniglipron Phase 2 Body Composition Study
IVVD,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,1770,ESTIMATED,NCT07298434,"Invivyd, Inc.",Study of VYD2311 for the Prevention of COVID-19
KOD,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,675,ESTIMATED,NCT06556368,Kodiak Sciences Inc.,A Study to Evaluate the Efficacy and Safety of Tarcocimab Tedromer and
KPTI,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,257,ACTUAL,NCT05611931,Karyopharm Therapeutics Inc.,Selinexor in Maintenance Therapy After Systemic Therapy for Participan
KYTX,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,"PHASE1,PHASE2",6,ACTUAL,NCT05938725,"Kyverna Therapeutics, Inc.",KYSA-1: A Study of Anti-CD19 Chimeric Antigen Receptor T-Cell (CD19 CA
MIRM,2026-08-31,CTGOV,medium,,,,,2026-08-31,ESTIMATED,29,SOON (<=60d),ACTIVE_NOT_RECRUITING,PHASE3,80,ESTIMATED,NCT07298330,"Mirum Pharmaceuticals, Inc.",A Trial Evaluating Brelovitug vs Delayed Treatment for the Treatment o
