ticker,catalyst_date,asset,indication
MRNA,2020-12-18,SPIKEVAX (mRNA-1273),COVID-19 vaccine
KPTI,2020-12-18,XPOVIO (selinexor),Multiple myeloma
NVS,2020-12-18,Leqvio (inclisiran),Hypercholesterolemia
TAK,2020-12-18,ICLUSIG (ponatinib),Chronic Myeloid Leukemia
AMGN,2020-12-17,RIABNI (rituximab-arrx),RITUXAN biosimilar - non-Hodgkin lymphoma
GSK,2020-12-17,BENLYSTA  (belimumab),Lupus Nephritis
ZLAB,2020-12-16,MARGENZA (margetuximab),Metastatic breast cancer
MGNX,2020-12-16,MARGENZA (margetuximab),Metastatic breast cancer
ATNXQ,2020-12-15,Tirbanibulin ointment,Actinic keratosis
BNTX,2020-12-11,Comirnaty (BNT162b2),COVID-19 vaccine
PFE,2020-12-11,Comirnaty (BNT162b2),COVID-19 vaccine
PFE,2020-12-10,Comirnaty (BNT162b2),COVID-19 vaccine
BNTX,2020-12-10,Comirnaty (BNT162b2),COVID-19 vaccine
ATNXQ,2020-12-09,Oraxol (Oral Paclitaxel),Angiosarcoma
PBYI,2020-12-09,NERLYNX (Neratinib) - (SUMMIT),Metastatic triple negative breast cancer with a HER2 mutation
RCUS,2020-12-09,Etrumadenant + eganelisib (IPI-549) - (ARC-2),Triple negative breast cancer (TNBC) and ovarian cancer
INFI,2020-12-09,Etrumadenant + eganelisib (IPI-549) - (ARC-2),Triple negative breast cancer (TNBC) and ovarian cancer
LPCN,2020-12-08,TLANDO (LPCN 1021),Men with low testosterone (Low T)
FBIO,2020-12-07,MB-106,B-cell Non-Hodgkin Lymphoma & Chronic Lymphocytic Leukemia (CLL)
MBIO,2020-12-07,MB-106,B-cell Non-Hodgkin Lymphoma & Chronic Lymphocytic Leukemia (CLL)
BGNE,2020-12-06,BRUKINSA (zanubrutinib),Marginal Zone Lymphoma
ONC,2020-12-06,BRUKINSA (zanubrutinib),Marginal Zone Lymphoma
