loe,brand,ingredient,company,appl_no,n_patents,substance_patent,approval_date,therapeutic_family,atc_code
2029-03-19,SIRTURO,BEDAQUILINE FUMARATE,JANSSEN THERAPEUTICS DIV JANSSEN PRODUCTS LP,204384,4,True,"Dec 28, 2012",Infectious disease,J04AK
2029-03-22,JAKAFI,RUXOLITINIB PHOSPHATE,INCYTE CORP,202192,145,True,"Nov 16, 2011",Dermatology,D11AH
2029-03-22,NUCYNTA ER,TAPENTADOL HYDROCHLORIDE,COLLEGIUM PHARMACEUTICAL INC,200533,25,False,"Aug 25, 2011",Pain,N02AX
2029-03-29,REMODULIN,TREPROSTINIL,UNITED THERAPEUTICS CORP,021272,40,True,"May 21, 2002",Blood,B01AC
2029-03-29,TUZISTRA XR,CHLORPHENIRAMINE POLISTIREX; CODEINE POLISTIREX,TRIS PHARMA INC,207768,2,False,"Apr 30, 2015",Respiratory,R05DA
2029-03-29,KARBINAL ER,CARBINOXAMINE MALEATE,AYTU BIOSCIENCE INC,022556,2,False,"Mar 28, 2013",Respiratory,R06AA
2029-04-06,BRISDELLE,PAROXETINE MESYLATE,LEGACY PHARMA INC SEZC,204516,3,True,"Jun 28, 2013",Neurology & psychiatry,N06AB
2029-04-09,NULIBRY,FOSDENOPTERIN HYDROBROMIDE,SENTYNL THERAPEUTICS INC,214018,1,False,"Feb 26, 2021",Metabolism & digestive,A16AX
2029-04-17,TRIFERIC,FERRIC PYROPHOSPHATE CITRATE,ROCKWELL MEDICAL INC,206317,1,False,"Jan 23, 2015",Unclassified,
2029-04-17,TRIFERIC,FERRIC PYROPHOSPHATE CITRATE,ROCKWELL MEDICAL INC,208551,2,False,"Apr 25, 2016",Unclassified,
2029-04-17,TRIFERIC AVNU,FERRIC PYROPHOSPHATE CITRATE,ROCKWELL MEDICAL INC,212860,1,True,"Mar 27, 2020",Unclassified,
